City,Country,Continent,Hemisphere,Season
Barcelona,Spain,Europe,North,Summer
London,UK,Europe,North,Summer
Antwerpen,Belgium,Europe,North,Summer
Paris,France,Europe,North,Summer
Calgary,Canada,America,North,Winter
Albertville,France,Europe,North,Winter
Lillehammer,Norway,Europe,North,Winter
Los Angeles,USA,America,North,Summer
Salt Lake City,USA,America,North,Winter
Helsinki,Finland,Europe,North,Summer
Lake Placid,USA,America,North,Winter
Sydney,Australia,Oceania,South,Summer
Atlanta,USA,America,North,Summer
Stockholm,Sweden,Europe,North,Summer
Sochi,Russia,Europe,North,Winter
Nagano,Japan,Asia,North,Winter
Torino,Italy,Europe,North,Winter
Beijing,China,Asia,North,Summer
Rio de Janeiro,Brazil,America,South,Summer
Athina,Greece,Europe,North,Summer
Squaw Valley,USA,America,North,Winter
Innsbruck,Austria,Europe,North,Winter
Sarajevo,Bosnia and Herzegovina,Europe,North,Winter
Mexico City,Mexico,America,North,Summer
Munich,Germany,Europe,North,Summer
Seoul,South Korea,Asia,North,Summer
Berlin,Germany,Europe,North,Summer
Oslo,Norway,Europe,North,Winter
Cortina d'Ampezzo,Italy,Europe,North,Winter
Melbourne,Australia,Oceania,South,Summer
Roma,Italy,Europe,North,Summer
Amsterdam,Netherlands,Europe,North,Summer
Montreal,Canada,America,North,Summer
Moskva,Russia,Europe,North,Summer
Tokyo,Japan,Asia,North,Summer
Vancouver,Canada,America,North,Winter
Grenoble,France,Europe,North,Winter
Sapporo,Japan,Asia,North,Winter
Chamonix,France,Europe,North,Winter
St. Louis,USA,America,North,Summer
Sankt Moritz,Switzerland,Europe,North,Winter
Garmisch-Partenkirchen,Germany,Europe,North,Winter