,Games,Sport,Sex,Name,Event,NOC
0,1896 Summer,Athletics,M,63,12,9
1,1896 Summer,Cycling,M,19,6,5
2,1896 Summer,Fencing,M,15,3,4
3,1896 Summer,Gymnastics,M,28,8,8
4,1896 Summer,Shooting,M,38,5,7
5,1896 Summer,Swimming,M,13,4,4
6,1896 Summer,Tennis,M,13,2,6
7,1896 Summer,Weightlifting,M,7,2,5
8,1896 Summer,Wrestling,M,5,1,4
9,1900 Summer,Archery,M,23,8,3
10,1900 Summer,Athletics,M,119,23,17
11,1900 Summer,Basque Pelota,M,2,1,1
12,1900 Summer,Cricket,M,24,1,2
13,1900 Summer,Croquet,F,3,2,1
14,1900 Summer,Croquet,M,7,3,1
15,1900 Summer,Cycling,M,72,3,7
16,1900 Summer,Equestrianism,F,2,1,2
17,1900 Summer,Equestrianism,M,56,5,8
18,1900 Summer,Fencing,M,259,7,19
19,1900 Summer,Football,M,35,1,4
20,1900 Summer,Golf,F,10,1,2
21,1900 Summer,Golf,M,12,1,4
22,1900 Summer,Gymnastics,M,135,1,8
23,1900 Summer,Polo,M,20,1,4
24,1900 Summer,Rowing,M,99,4,7
25,1900 Summer,Rugby,M,47,1,5
26,1900 Summer,Sailing,F,1,2,1
27,1900 Summer,Sailing,M,95,8,6
28,1900 Summer,Shooting,M,72,8,8
29,1900 Summer,Swimming,M,76,7,12
30,1900 Summer,Tennis,F,7,2,4
31,1900 Summer,Tennis,M,19,3,3
32,1900 Summer,Tug-Of-War,M,12,1,4
33,1900 Summer,Water Polo,M,53,1,5
34,1904 Summer,Archery,F,6,3,1
35,1904 Summer,Archery,M,23,3,1
36,1904 Summer,Athletics,M,116,24,11
37,1904 Summer,Boxing,M,18,7,1
38,1904 Summer,Cycling,M,18,7,2
39,1904 Summer,Diving,M,5,1,2
40,1904 Summer,Fencing,M,11,5,4
41,1904 Summer,Football,M,36,1,2
42,1904 Summer,Golf,M,77,2,3
43,1904 Summer,Gymnastics,M,121,12,5
44,1904 Summer,Lacrosse,M,36,1,2
45,1904 Summer,Roque,M,4,1,1
46,1904 Summer,Rowing,M,44,5,2
47,1904 Summer,Swimming,M,32,10,5
48,1904 Summer,Tennis,M,36,2,2
49,1904 Summer,Tug-Of-War,M,30,1,4
50,1904 Summer,Water Polo,M,21,1,1
51,1904 Summer,Weightlifting,M,5,2,3
52,1904 Summer,Wrestling,M,42,7,5
53,1906 Summer,Athletics,M,233,21,20
54,1906 Summer,Cycling,M,45,6,11
55,1906 Summer,Diving,M,24,1,7
56,1906 Summer,Fencing,M,62,8,12
57,1906 Summer,Football,M,45,1,4
58,1906 Summer,Gymnastics,M,104,4,9
59,1906 Summer,Rowing,M,167,6,6
60,1906 Summer,Shooting,M,68,12,12
61,1906 Summer,Swimming,M,43,4,11
62,1906 Summer,Tennis,F,6,2,2
63,1906 Summer,Tennis,M,21,3,6
64,1906 Summer,Tug-Of-War,M,32,1,4
65,1906 Summer,Weightlifting,M,13,2,7
66,1906 Summer,Wrestling,M,36,4,11
67,1908 Summer,Archery,F,25,1,1
68,1908 Summer,Archery,M,32,2,3
69,1908 Summer,Athletics,M,431,26,20
70,1908 Summer,Boxing,M,42,5,4
71,1908 Summer,Cycling,M,97,6,11
72,1908 Summer,Diving,M,39,2,9
73,1908 Summer,Fencing,M,131,4,14
74,1908 Summer,Figure Skating,F,7,2,3
75,1908 Summer,Figure Skating,M,14,3,6
76,1908 Summer,Football,M,72,1,5
77,1908 Summer,Gymnastics,M,325,2,13
78,1908 Summer,Hockey,M,68,1,3
79,1908 Summer,Jeu De Paume,M,11,1,2
80,1908 Summer,Lacrosse,M,24,1,2
81,1908 Summer,Motorboating,F,1,1,1
82,1908 Summer,Motorboating,M,13,3,2
83,1908 Summer,Polo,M,12,1,1
84,1908 Summer,Racquets,M,7,2,1
85,1908 Summer,Rowing,M,81,4,8
86,1908 Summer,Rugby,M,30,1,2
87,1908 Summer,Sailing,F,1,1,1
88,1908 Summer,Sailing,M,63,4,5
89,1908 Summer,Shooting,M,215,15,14
90,1908 Summer,Swimming,M,100,6,14
91,1908 Summer,Tennis,F,10,2,2
92,1908 Summer,Tennis,M,40,4,10
93,1908 Summer,Tug-Of-War,M,40,1,3
94,1908 Summer,Water Polo,M,28,1,4
95,1908 Summer,Wrestling,M,115,9,15
96,1912 Summer,Art Competitions,M,33,5,12
97,1912 Summer,Athletics,M,534,30,27
98,1912 Summer,Cycling,M,123,2,16
99,1912 Summer,Diving,F,14,1,3
100,1912 Summer,Diving,M,43,3,9
101,1912 Summer,Equestrianism,M,62,5,10
102,1912 Summer,Fencing,M,185,5,16
103,1912 Summer,Football,M,163,1,11
104,1912 Summer,Gymnastics,M,249,4,12
105,1912 Summer,Modern Pentathlon,M,32,1,10
106,1912 Summer,Rowing,M,184,4,14
107,1912 Summer,Sailing,M,109,4,6
108,1912 Summer,Shooting,M,284,18,16
109,1912 Summer,Swimming,F,27,2,8
110,1912 Summer,Swimming,M,93,7,17
111,1912 Summer,Tennis,F,13,4,6
112,1912 Summer,Tennis,M,67,6,14
113,1912 Summer,Tug-Of-War,M,16,1,2
114,1912 Summer,Water Polo,M,45,1,6
115,1912 Summer,Wrestling,M,170,5,18
116,1920 Summer,Archery,M,30,10,3
117,1920 Summer,Art Competitions,F,1,1,1
118,1920 Summer,Art Competitions,M,10,5,4
119,1920 Summer,Athletics,M,509,29,25
120,1920 Summer,Boxing,M,116,8,12
121,1920 Summer,Cycling,M,103,6,14
122,1920 Summer,Diving,F,18,2,6
123,1920 Summer,Diving,M,35,3,13
124,1920 Summer,Equestrianism,M,89,7,8
125,1920 Summer,Fencing,M,149,6,13
126,1920 Summer,Figure Skating,F,12,2,7
127,1920 Summer,Figure Skating,M,14,2,8
128,1920 Summer,Football,M,190,1,14
129,1920 Summer,Gymnastics,M,249,4,11
130,1920 Summer,Hockey,M,51,1,4
131,1920 Summer,Ice Hockey,M,60,1,7
132,1920 Summer,Modern Pentathlon,M,23,1,8
133,1920 Summer,Polo,M,17,1,4
134,1920 Summer,Rowing,M,136,5,14
135,1920 Summer,Rugby,M,31,1,2
136,1920 Summer,Sailing,F,1,1,1
137,1920 Summer,Sailing,M,100,10,6
138,1920 Summer,Shooting,M,236,22,18
139,1920 Summer,Swimming,F,24,3,9
140,1920 Summer,Swimming,M,92,7,17
141,1920 Summer,Tennis,F,23,3,8
142,1920 Summer,Tennis,M,52,3,14
143,1920 Summer,Tug-Of-War,M,40,1,5
144,1920 Summer,Water Polo,M,101,1,12
145,1920 Summer,Weightlifting,M,52,5,14
146,1920 Summer,Wrestling,M,152,10,19
147,1924 Summer,Art Competitions,F,21,5,9
148,1924 Summer,Art Competitions,M,168,5,23
149,1924 Summer,Athletics,M,659,27,40
150,1924 Summer,Boxing,M,181,8,27
151,1924 Summer,Cycling,M,139,6,24
152,1924 Summer,Diving,F,26,2,9
153,1924 Summer,Diving,M,45,3,13
154,1924 Summer,Equestrianism,M,97,5,17
155,1924 Summer,Fencing,F,25,1,9
156,1924 Summer,Fencing,M,215,6,23
157,1924 Summer,Football,M,279,1,22
158,1924 Summer,Gymnastics,M,72,9,9
159,1924 Summer,Modern Pentathlon,M,38,1,11
160,1924 Summer,Polo,M,24,1,5
161,1924 Summer,Rowing,M,181,7,14
162,1924 Summer,Rugby,M,54,1,3
163,1924 Summer,Sailing,F,1,1,1
164,1924 Summer,Sailing,M,64,3,18
165,1924 Summer,Shooting,M,258,10,27
166,1924 Summer,Swimming,F,51,5,10
167,1924 Summer,Swimming,M,118,6,22
168,1924 Summer,Tennis,F,35,3,14
169,1924 Summer,Tennis,M,89,3,27
170,1924 Summer,Water Polo,M,101,1,13
171,1924 Summer,Weightlifting,M,107,5,16
172,1924 Summer,Wrestling,M,229,13,26
173,1924 Winter,Alpinism,M,21,1,4
174,1924 Winter,Bobsleigh,M,39,1,5
175,1924 Winter,Cross Country Skiing,M,59,2,12
176,1924 Winter,Curling,M,16,1,3
177,1924 Winter,Figure Skating,F,13,2,8
178,1924 Winter,Figure Skating,M,16,2,10
179,1924 Winter,Ice Hockey,M,82,1,8
180,1924 Winter,Military Ski Patrol,M,24,1,6
181,1924 Winter,Nordic Combined,M,30,1,9
182,1924 Winter,Ski Jumping,M,27,1,9
183,1924 Winter,Speed Skating,M,31,5,10
184,1928 Summer,Art Competitions,F,38,6,9
185,1928 Summer,Art Competitions,M,332,13,19
186,1928 Summer,Athletics,F,95,5,18
187,1928 Summer,Athletics,M,611,22,40
188,1928 Summer,Boxing,M,144,8,29
189,1928 Summer,Cycling,M,149,6,27
190,1928 Summer,Diving,F,23,2,9
191,1928 Summer,Diving,M,38,2,16
192,1928 Summer,Equestrianism,M,113,6,20
193,1928 Summer,Fencing,F,27,1,11
194,1928 Summer,Fencing,M,232,6,27
195,1928 Summer,Football,M,219,1,17
196,1928 Summer,Gymnastics,F,56,1,5
197,1928 Summer,Gymnastics,M,88,7,11
198,1928 Summer,Hockey,M,137,1,9
199,1928 Summer,Modern Pentathlon,M,37,1,14
200,1928 Summer,Rowing,M,244,7,19
201,1928 Summer,Sailing,F,2,1,2
202,1928 Summer,Sailing,M,125,3,23
203,1928 Summer,Swimming,F,72,5,17
204,1928 Summer,Swimming,M,110,6,25
205,1928 Summer,Water Polo,M,112,1,14
206,1928 Summer,Weightlifting,M,94,5,19
207,1928 Summer,Wrestling,M,166,13,29
208,1928 Winter,Bobsleigh,M,116,1,14
209,1928 Winter,Cross Country Skiing,M,74,2,15
210,1928 Winter,Figure Skating,F,28,2,11
211,1928 Winter,Figure Skating,M,23,2,11
212,1928 Winter,Ice Hockey,M,124,1,11
213,1928 Winter,Nordic Combined,M,35,1,14
214,1928 Winter,Skeleton,M,10,1,6
215,1928 Winter,Ski Jumping,M,38,1,13
216,1928 Winter,Speed Skating,M,40,4,14
217,1932 Summer,Alpinism,M,2,1,1
218,1932 Summer,Art Competitions,F,75,6,13
219,1932 Summer,Art Competitions,M,513,13,35
220,1932 Summer,Athletics,F,54,6,11
221,1932 Summer,Athletics,M,332,23,34
222,1932 Summer,Boxing,M,85,8,18
223,1932 Summer,Cycling,M,66,6,13
224,1932 Summer,Diving,F,11,2,7
225,1932 Summer,Diving,M,17,2,7
226,1932 Summer,Equestrianism,M,31,6,6
227,1932 Summer,Fencing,F,17,1,11
228,1932 Summer,Fencing,M,91,6,15
229,1932 Summer,Gymnastics,M,46,11,7
230,1932 Summer,Hockey,M,40,1,3
231,1932 Summer,Modern Pentathlon,M,25,1,10
232,1932 Summer,Rowing,M,152,7,13
233,1932 Summer,Sailing,M,54,4,11
234,1932 Summer,Shooting,M,41,2,10
235,1932 Summer,Swimming,F,44,5,10
236,1932 Summer,Swimming,M,84,6,17
237,1932 Summer,Water Polo,M,41,1,5
238,1932 Summer,Weightlifting,M,29,5,8
239,1932 Summer,Wrestling,M,79,14,18
240,1932 Winter,Bobsleigh,M,41,2,8
241,1932 Winter,Cross Country Skiing,M,58,2,11
242,1932 Winter,Figure Skating,F,21,2,9
243,1932 Winter,Figure Skating,M,18,2,10
244,1932 Winter,Ice Hockey,M,48,1,4
245,1932 Winter,Nordic Combined,M,33,1,10
246,1932 Winter,Ski Jumping,M,34,1,10
247,1932 Winter,Speed Skating,M,31,4,6
248,1936 Summer,Aeronautics,M,1,1,1
249,1936 Summer,Alpinism,F,1,1,1
250,1936 Summer,Alpinism,M,1,1,1
251,1936 Summer,Art Competitions,F,31,6,12
252,1936 Summer,Art Competitions,M,496,19,24
253,1936 Summer,Athletics,F,98,6,20
254,1936 Summer,Athletics,M,678,23,43
255,1936 Summer,Basketball,M,199,1,21
256,1936 Summer,Boxing,M,179,8,31
257,1936 Summer,Canoeing,M,119,9,19
258,1936 Summer,Cycling,M,175,6,30
259,1936 Summer,Diving,F,30,2,11
260,1936 Summer,Diving,M,39,2,20
261,1936 Summer,Equestrianism,M,127,6,21
262,1936 Summer,Fencing,F,41,1,17
263,1936 Summer,Fencing,M,270,6,29
264,1936 Summer,Football,M,201,1,16
265,1936 Summer,Gymnastics,F,64,1,8
266,1936 Summer,Gymnastics,M,111,8,14
267,1936 Summer,Handball,M,105,1,6
268,1936 Summer,Hockey,M,167,1,11
269,1936 Summer,Modern Pentathlon,M,42,1,16
270,1936 Summer,Polo,M,21,1,5
271,1936 Summer,Rowing,M,314,7,24
272,1936 Summer,Sailing,F,3,2,3
273,1936 Summer,Sailing,M,169,4,26
274,1936 Summer,Shooting,M,141,3,29
275,1936 Summer,Swimming,F,94,5,18
276,1936 Summer,Swimming,M,154,6,28
277,1936 Summer,Water Polo,M,142,1,16
278,1936 Summer,Weightlifting,M,80,5,15
279,1936 Summer,Wrestling,M,200,14,29
280,1936 Winter,Alpine Skiing,F,37,1,13
281,1936 Winter,Alpine Skiing,M,66,1,21
282,1936 Winter,Bobsleigh,M,95,2,13
283,1936 Winter,Cross Country Skiing,M,109,3,22
284,1936 Winter,Figure Skating,F,43,2,16
285,1936 Winter,Figure Skating,M,41,2,16
286,1936 Winter,Ice Hockey,M,173,1,15
287,1936 Winter,Nordic Combined,M,51,1,16
288,1936 Winter,Ski Jumping,M,48,1,14
289,1936 Winter,Speed Skating,M,52,4,16
290,1948 Summer,Art Competitions,F,53,15,15
291,1948 Summer,Art Competitions,M,277,17,26
292,1948 Summer,Athletics,F,144,9,27
293,1948 Summer,Athletics,M,601,24,53
294,1948 Summer,Basketball,M,287,1,23
295,1948 Summer,Boxing,M,205,8,39
296,1948 Summer,Canoeing,F,10,1,10
297,1948 Summer,Canoeing,M,100,8,16
298,1948 Summer,Cycling,M,188,6,33
299,1948 Summer,Diving,F,24,2,10
300,1948 Summer,Diving,M,39,2,20
301,1948 Summer,Equestrianism,M,103,6,17
302,1948 Summer,Fencing,F,39,1,15
303,1948 Summer,Fencing,M,255,6,30
304,1948 Summer,Football,M,218,1,18
305,1948 Summer,Gymnastics,F,88,1,11
306,1948 Summer,Gymnastics,M,123,8,16
307,1948 Summer,Hockey,M,187,1,13
308,1948 Summer,Modern Pentathlon,M,45,1,16
309,1948 Summer,Rowing,M,310,7,27
310,1948 Summer,Sailing,M,186,4,23
311,1948 Summer,Shooting,M,188,4,28
312,1948 Summer,Swimming,F,88,5,18
313,1948 Summer,Swimming,M,161,6,30
314,1948 Summer,Water Polo,M,156,1,18
315,1948 Summer,Weightlifting,M,120,6,30
316,1948 Summer,Wrestling,M,219,16,29
317,1948 Winter,Alpine Skiing,F,40,3,11
318,1948 Winter,Alpine Skiing,M,127,3,25
319,1948 Winter,Bobsleigh,M,71,2,9
320,1948 Winter,Cross Country Skiing,M,106,3,15
321,1948 Winter,Figure Skating,F,37,2,11
322,1948 Winter,Figure Skating,M,27,2,12
323,1948 Winter,Ice Hockey,M,139,1,9
324,1948 Winter,Nordic Combined,M,39,1,13
325,1948 Winter,Skeleton,M,15,1,6
326,1948 Winter,Ski Jumping,M,49,1,14
327,1948 Winter,Speed Skating,M,68,4,15
328,1952 Summer,Athletics,F,187,9,37
329,1952 Summer,Athletics,M,776,24,55
330,1952 Summer,Basketball,M,294,1,23
331,1952 Summer,Boxing,M,249,10,43
332,1952 Summer,Canoeing,F,13,1,13
333,1952 Summer,Canoeing,M,146,8,21
334,1952 Summer,Cycling,M,215,6,36
335,1952 Summer,Diving,F,25,2,10
336,1952 Summer,Diving,M,51,2,21
337,1952 Summer,Equestrianism,F,4,2,4
338,1952 Summer,Equestrianism,M,130,6,25
339,1952 Summer,Fencing,F,37,1,15
340,1952 Summer,Fencing,M,249,6,32
341,1952 Summer,Football,M,294,1,25
342,1952 Summer,Gymnastics,F,134,7,18
343,1952 Summer,Gymnastics,M,185,8,29
344,1952 Summer,Hockey,M,157,1,12
345,1952 Summer,Modern Pentathlon,M,51,2,19
346,1952 Summer,Rowing,M,404,7,33
347,1952 Summer,Sailing,F,3,3,2
348,1952 Summer,Sailing,M,224,5,29
349,1952 Summer,Shooting,M,218,7,41
350,1952 Summer,Swimming,F,118,5,24
351,1952 Summer,Swimming,M,201,6,48
352,1952 Summer,Water Polo,M,191,1,21
353,1952 Summer,Weightlifting,M,142,7,41
354,1952 Summer,Wrestling,M,244,16,37
355,1952 Winter,Alpine Skiing,F,52,3,15
356,1952 Winter,Alpine Skiing,M,114,3,28
357,1952 Winter,Bobsleigh,M,70,2,10
358,1952 Winter,Cross Country Skiing,F,20,1,8
359,1952 Winter,Cross Country Skiing,M,118,3,18
360,1952 Winter,Figure Skating,F,37,2,13
361,1952 Winter,Figure Skating,M,26,2,14
362,1952 Winter,Ice Hockey,M,147,1,9
363,1952 Winter,Nordic Combined,M,25,1,11
364,1952 Winter,Ski Jumping,M,44,1,13
365,1952 Winter,Speed Skating,M,67,4,14
366,1956 Summer,Athletics,F,147,9,27
367,1956 Summer,Athletics,M,573,24,59
368,1956 Summer,Basketball,M,169,1,15
369,1956 Summer,Boxing,M,161,10,34
370,1956 Summer,Canoeing,F,10,1,10
371,1956 Summer,Canoeing,M,103,8,17
372,1956 Summer,Cycling,M,161,6,30
373,1956 Summer,Diving,F,27,2,12
374,1956 Summer,Diving,M,33,2,13
375,1956 Summer,Equestrianism,F,13,4,6
376,1956 Summer,Equestrianism,M,145,6,29
377,1956 Summer,Fencing,F,23,1,11
378,1956 Summer,Fencing,M,142,6,20
379,1956 Summer,Football,M,143,1,11
380,1956 Summer,Gymnastics,F,65,7,15
381,1956 Summer,Gymnastics,M,63,8,18
382,1956 Summer,Hockey,M,173,1,12
383,1956 Summer,Modern Pentathlon,M,40,2,16
384,1956 Summer,Rowing,M,242,7,25
385,1956 Summer,Sailing,M,154,5,28
386,1956 Summer,Shooting,M,156,7,37
387,1956 Summer,Swimming,F,99,6,24
388,1956 Summer,Swimming,M,136,7,29
389,1956 Summer,Water Polo,M,96,1,10
390,1956 Summer,Weightlifting,M,105,7,34
391,1956 Summer,Wrestling,M,173,16,30
392,1956 Winter,Alpine Skiing,F,59,3,16
393,1956 Winter,Alpine Skiing,M,124,3,29
394,1956 Winter,Bobsleigh,M,101,2,14
395,1956 Winter,Cross Country Skiing,F,41,2,11
396,1956 Winter,Cross Country Skiing,M,109,4,20
397,1956 Winter,Figure Skating,F,32,2,12
398,1956 Winter,Figure Skating,M,27,2,12
399,1956 Winter,Ice Hockey,M,169,1,10
400,1956 Winter,Nordic Combined,M,36,1,12
401,1956 Winter,Ski Jumping,M,51,1,16
402,1956 Winter,Speed Skating,M,83,4,18
403,1960 Summer,Athletics,F,204,10,33
404,1960 Summer,Athletics,M,812,24,71
405,1960 Summer,Basketball,M,192,1,16
406,1960 Summer,Boxing,M,281,10,54
407,1960 Summer,Canoeing,F,28,2,15
408,1960 Summer,Canoeing,M,145,5,24
409,1960 Summer,Cycling,M,297,6,48
410,1960 Summer,Diving,F,26,2,15
411,1960 Summer,Diving,M,49,2,21
412,1960 Summer,Equestrianism,F,8,3,4
413,1960 Summer,Equestrianism,M,151,5,29
414,1960 Summer,Fencing,F,78,2,24
415,1960 Summer,Fencing,M,266,6,41
416,1960 Summer,Football,M,235,1,16
417,1960 Summer,Gymnastics,F,124,6,27
418,1960 Summer,Gymnastics,M,130,8,28
419,1960 Summer,Hockey,M,236,1,16
420,1960 Summer,Modern Pentathlon,M,60,2,23
421,1960 Summer,Rowing,M,410,7,33
422,1960 Summer,Sailing,F,1,1,1
423,1960 Summer,Sailing,M,289,5,46
424,1960 Summer,Shooting,M,313,6,59
425,1960 Summer,Swimming,F,144,7,26
426,1960 Summer,Swimming,M,236,8,42
427,1960 Summer,Water Polo,M,150,1,16
428,1960 Summer,Weightlifting,M,172,7,53
429,1960 Summer,Wrestling,M,324,16,46
430,1960 Winter,Alpine Skiing,F,51,3,14
431,1960 Winter,Alpine Skiing,M,82,3,21
432,1960 Winter,Biathlon,M,30,1,9
433,1960 Winter,Cross Country Skiing,F,24,2,7
434,1960 Winter,Cross Country Skiing,M,88,4,19
435,1960 Winter,Figure Skating,F,39,2,14
436,1960 Winter,Figure Skating,M,32,2,12
437,1960 Winter,Ice Hockey,M,152,1,9
438,1960 Winter,Nordic Combined,M,33,1,13
439,1960 Winter,Ski Jumping,M,45,1,15
440,1960 Winter,Speed Skating,F,30,4,10
441,1960 Winter,Speed Skating,M,73,4,16
442,1964 Summer,Athletics,F,236,12,41
443,1964 Summer,Athletics,M,782,24,78
444,1964 Summer,Basketball,M,189,1,16
445,1964 Summer,Boxing,M,269,10,56
446,1964 Summer,Canoeing,F,27,2,14
447,1964 Summer,Canoeing,M,118,5,22
448,1964 Summer,Cycling,M,303,7,40
449,1964 Summer,Diving,F,34,2,12
450,1964 Summer,Diving,M,46,2,19
451,1964 Summer,Equestrianism,F,13,6,7
452,1964 Summer,Equestrianism,M,103,6,19
453,1964 Summer,Fencing,F,56,2,17
454,1964 Summer,Fencing,M,203,6,28
455,1964 Summer,Football,M,214,1,14
456,1964 Summer,Gymnastics,F,83,6,24
457,1964 Summer,Gymnastics,M,130,8,30
458,1964 Summer,Hockey,M,226,1,15
459,1964 Summer,Judo,M,72,4,27
460,1964 Summer,Modern Pentathlon,M,37,2,15
461,1964 Summer,Rowing,M,370,7,27
462,1964 Summer,Sailing,F,1,1,1
463,1964 Summer,Sailing,M,224,5,40
464,1964 Summer,Shooting,M,262,6,51
465,1964 Summer,Swimming,F,162,8,27
466,1964 Summer,Swimming,M,243,10,41
467,1964 Summer,Volleyball,F,68,1,6
468,1964 Summer,Volleyball,M,111,1,10
469,1964 Summer,Water Polo,M,137,1,13
470,1964 Summer,Weightlifting,M,149,7,42
471,1964 Summer,Wrestling,M,275,16,42
472,1964 Winter,Alpine Skiing,F,55,3,16
473,1964 Winter,Alpine Skiing,M,119,3,29
474,1964 Winter,Biathlon,M,51,1,14
475,1964 Winter,Bobsleigh,M,81,2,11
476,1964 Winter,Cross Country Skiing,F,38,3,12
477,1964 Winter,Cross Country Skiing,M,113,4,23
